Time,hour,,,,price,,
6/1/2023 0:00,0,0.011,0.02,0.011,0.0864,,
6/1/2023 1:00,1,0.0188,0.02,0.011,0.0587,,
6/1/2023 2:00,2,0.0255,0.02,0.011,0.0385,,
6/1/2023 3:00,3,0.0632,0.3,0.011,0.0246,,
6/1/2023 4:00,4,0.0957,0.3,0.011,0.0165,,
6/1/2023 5:00,5,0.2358,0.3,0.011,0.0215,,
6/1/2023 6:00,6,0.4931,0.4931,0.4931,0.0359,,
6/1/2023 7:00,7,0.6618,0.6618,0.6618,0.0206,,
6/1/2023 8:00,8,0.5364,0.5364,0.5364,0.0106,,
6/1/2023 9:00,9,0.4116,0.4116,0.4116,0.0192,,
6/1/2023 10:00,10,0.2905,0.2905,0.2905,0.0309,,
6/1/2023 11:00,11,0.2209,0.2209,0.2209,0.0612,,
6/1/2023 12:00,12,0.1714,0.1714,0.1714,0.0925,,
6/1/2023 13:00,13,0.144,0.144,0.144,0.1244,,
6/1/2023 14:00,14,0.1385,0.1385,0.1385,0.1667,,
6/1/2023 15:00,15,0.1518,0.1518,0.1518,0.2148,,
6/1/2023 16:00,16,0.1829,0.1829,0.1829,0.3563,,
6/1/2023 17:00,17,0.2713,0.2713,0.2713,0.4893,,
6/1/2023 18:00,18,0.4659,0.4659,0.4659,0.7098,,
6/1/2023 19:00,19,0.5328,0.5328,0.5328,0.7882,,
6/1/2023 20:00,20,0.28,0.28,0.28,0.5586,,
6/1/2023 21:00,21,0.1158,0.1158,0.1158,0.3326,,
6/1/2023 22:00,22,0.0398,0.0398,0.0398,0.2152,,
6/1/2023 23:00,23,0.0196,0.0196,0.0196,0.1487,,289
6/2/2023 0:00,0,0.011,0.02,0.011,0.0864,,
6/2/2023 1:00,1,0.0188,0.02,0.011,0.0587,,
6/2/2023 2:00,2,0.0255,0.02,0.011,0.0385,,
6/2/2023 3:00,3,0.0632,0.3,0.011,0.0246,,
6/2/2023 4:00,4,0.0957,0.3,0.011,0.0165,,
6/2/2023 5:00,5,0.2358,0.3,0.011,0.0215,,
6/2/2023 6:00,6,0.4931,0.4931,0.4931,0.0359,,
6/2/2023 7:00,7,0.6618,0.6618,0.6618,0.0206,,
6/2/2023 8:00,8,0.5364,0.5364,0.5364,0.0106,,
6/2/2023 9:00,9,0.4116,0.4116,0.4116,0.0192,,
6/2/2023 10:00,10,0.2905,0.2905,0.2905,0.0309,,
6/2/2023 11:00,11,0.2209,0.2209,0.2209,0.0612,,
6/2/2023 12:00,12,0.1714,0.1714,0.1714,0.0925,,
6/2/2023 13:00,13,0.144,0.144,0.144,0.1244,,
6/2/2023 14:00,14,0.1385,0.1385,0.1385,0.1667,,
6/2/2023 15:00,15,0.1518,0.1518,0.1518,0.2148,,
6/2/2023 16:00,16,0.1829,0.1829,0.1829,0.3563,,
6/2/2023 17:00,17,0.2713,0.2713,0.2713,0.4893,,
6/2/2023 18:00,18,0.4659,0.4659,0.4659,0.7098,,
6/2/2023 19:00,19,0.5328,0.5328,0.5328,0.7882,,
6/2/2023 20:00,20,0.28,0.28,0.28,0.5586,,
6/2/2023 21:00,21,0.1158,0.1158,0.1158,0.3326,,
6/2/2023 22:00,22,0.0398,0.0398,0.0398,0.2152,,
6/2/2023 23:00,23,0.0196,0.0196,0.0196,0.1487,,
6/3/2023 0:00,0,0.0196,0.0196,0.0196,0.1487,,
